textID,original,sentiment,prefix,completion,combined
c2ea5cb58b,Not feeling all that well today,negative,<sentiment: negative>Not feeling all,that well,<sentiment: negative>Not feeling allthat well
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting",day tomorrow,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an excitingday tomorrow"
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,<sentiment: neutral>i`m only updating this so that brett`s phone beeps ,{link},<sentiment: neutral>i`m only updating this so that brett`s phone beeps {link}
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream,",too,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream,too"
c7f9d559e2,Happy mothers day mumm  xoxo,positive,<sentiment: positive>Happy mothers day m,ummy,<sentiment: positive>Happy mothers day mummy
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,<sentiment: neutral>at starbucks with my love. eff,this weather!,<sentiment: neutral>at starbucks with my love. effthis weather!
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,<sentiment: negative>I THINK EVERYONE H,ATES ME NOW,<sentiment: negative>I THINK EVERYONE HATES ME NOW
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative,"<sentiment: negative>soooooo wish i could, but",i have to work,"<sentiment: negative>soooooo wish i could, buti have to work"
e591a725ef, i still dont know what we would do though,neutral,<sentiment: neutral>i still dont know,what to do,<sentiment: neutral>i still dont knowwhat to do
9b1a52cc02, where`d you go!,neutral,<sentiment: neutral>where`d,you go?,<sentiment: neutral>where`dyou go?
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,"<sentiment: neutral>_xo   dang it, so its",not working for me,"<sentiment: neutral>_xo   dang it, so itsnot working for me"
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,"<sentiment: negative>No AC, the fan doesnt swing our way...",and its hot...,"<sentiment: negative>No AC, the fan doesnt swing our way...and its hot..."
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not",that kind of girl,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am notthat kind of girl"
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,<sentiment: neutral>TGIF is right...I think I broke,my toe last night,<sentiment: neutral>TGIF is right...I think I brokemy toe last night
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......",I miss my family,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......I miss my family"
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole is,going to get infected.,<sentiment: negative>Its coming out the socket  I feel like my phones hole isgoing to get infected.
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive,"<sentiment: positive>On the monday, so i wont be able",to see you,"<sentiment: positive>On the monday, so i wont be ableto see you"
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,<sentiment: neutral>you should totally come get me and bring,me to the party,<sentiment: neutral>you should totally come get me and bringme to the party
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,"<sentiment: neutral>Oherr it`s soon then, do you have",a date yet?,"<sentiment: neutral>Oherr it`s soon then, do you havea date yet?"
9fce30159a, Miss you,negative,<sentiment: negative>Miss,ed the bus,<sentiment: negative>Missed the bus
95701e8ed9, guess that depends on if you want to be on the jury,neutral,<sentiment: neutral>guess that depends on if you,have a job or not,<sentiment: neutral>guess that depends on if youhave a job or not
1e46d72ec6," yep, i wish they were all playing dubiln",positive,"<sentiment: positive>yep, i wish they",would come to the UK,"<sentiment: positive>yep, i wish theywould come to the UK"
00d5195223,Cramps . . .,negative,<sentiment: negative>Cramps,are making me cry,<sentiment: negative>Crampsare making me cry
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im",grounded for a week,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, imgrounded for a week"
e64208b4ef, and within a short time of the last clue all of them,neutral,<sentiment: neutral>and within a short time of,each other too!,<sentiment: neutral>and within a short time ofeach other too!
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,<sentiment: neutral>What did you get?  My day is alright.. haven,`t been out of bed yet,<sentiment: neutral>What did you get?  My day is alright.. haven`t been out of bed yet
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have,a great day!,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you havea great day!
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative,"<sentiment: negative>Dear rain, you suck. Now",I have to go to work,"<sentiment: negative>Dear rain, you suck. NowI have to go to work"
6d846d7d50, I`m sorry  at least it`s Friday?,negative,<sentiment: negative>I`m sorry ,I`m not feeling well,<sentiment: negative>I`m sorry I`m not feeling well
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,<sentiment: negative>My dead grandpa pays more,attention to me than my family,<sentiment: negative>My dead grandpa pays moreattention to me than my family
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral,<sentiment: neutral>resorted to eating Mickey,Ds for lunch  ...,<sentiment: neutral>resorted to eating MickeyDs for lunch  ...
8be365118e, you are lame  go make me breakfast!!,negative,<sentiment: negative>you are lame ,i`m going to sleep,<sentiment: negative>you are lame i`m going to sleep
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,"<sentiment: negative>for...the...loss. dumbface ...him, not u.",i`m sorry,"<sentiment: negative>for...the...loss. dumbface ...him, not u.i`m sorry"
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,<sentiment: positive>you guys didn`t say hi or answer,my question  i`m sad,<sentiment: positive>you guys didn`t say hi or answermy question  i`m sad
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,<sentiment: neutral>Should have left car and walked home! I might,have to go back and get it,<sentiment: neutral>Should have left car and walked home! I mighthave to go back and get it
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,neutral,<sentiment: neutral>.. and you`re on twitter!,I`m so happy!,<sentiment: neutral>.. and you`re on twitter!I`m so happy!
e6c9e5e3ab, 26th February,neutral,<sentiment: neutral>26,days until I go to the UK,<sentiment: neutral>26days until I go to the UK
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how,2 get it 2 stop,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how2 get it 2 stop
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,<sentiment: negative>So hot today =_=  don`t like it and,I`m not going to the beach,<sentiment: negative>So hot today =_=  don`t like it andI`m not going to the beach
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,<sentiment: negative>My bike was put on hold...should,be here in a week or so,<sentiment: negative>My bike was put on hold...shouldbe here in a week or so
e96d849b35, i always have those for my Champions League parties  Tis awesome,positive,<sentiment: positive>i always have those for my,friends,<sentiment: positive>i always have those for myfriends
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,<sentiment: neutral>i miss my old phone it worked so good until i,dropped it in the toilet  {link},<sentiment: neutral>i miss my old phone it worked so good until idropped it in the toilet  {link}
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,"<sentiment: negative>Recession hit Veronique Branquinho,",she is closing her store in Paris,"<sentiment: negative>Recession hit Veronique Branquinho,she is closing her store in Paris"
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,<sentiment: neutral>I always forget SOMETHING when I,go out.  I forgot my wallet,<sentiment: neutral>I always forget SOMETHING when Igo out.  I forgot my wallet
e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in the,end,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in theend
5d57a5eda2, Thank you!  I`m working on `s,positive,<sentiment: positive>Thank you!  I,love the new look of the site!,<sentiment: positive>Thank you!  Ilove the new look of the site!
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,negative,<sentiment: negative>The underwire in my bra is sticking,out.  I hate when that happens.,<sentiment: negative>The underwire in my bra is stickingout.  I hate when that happens.
cce5c4744a,Watching Body of Lies...good film,positive,<sentiment: positive>Watching Body of,Lies. I love Leonardo DiCaprio,<sentiment: positive>Watching Body ofLies. I love Leonardo DiCaprio
4a65010643, riley hacked my twitter!  hahaha :],neutral,<sentiment: neutral>riley hacked my twitter,,<sentiment: neutral>riley hacked my twitter
01082688c6, happy bday!,positive,<sentiment: positive>happy,mothers day to all the moms out there!,<sentiment: positive>happymothers day to all the moms out there!
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,<sentiment: neutral>Guess what? mom adopted a kitty today,!  I`m so excited!,<sentiment: neutral>Guess what? mom adopted a kitty today!  I`m so excited!
124e30d941," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,"<sentiment: positive>well, not all. just stay away from those kinds and surround yourself with",good ones,"<sentiment: positive>well, not all. just stay away from those kinds and surround yourself withgood ones"
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,<sentiment: negative>feels sorry every time I`m printing,something that I`m using up my ink,<sentiment: negative>feels sorry every time I`m printingsomething that I`m using up my ink
f0ef04109b,about to go to sleep,neutral,<sentiment: neutral>about to,go to bed.  i have a headache,<sentiment: neutral>about togo to bed.  i have a headache
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,<sentiment: negative>im really sorry i know wallah how u,feel  i wish i could be there,<sentiment: negative>im really sorry i know wallah how ufeel  i wish i could be there
ddc07db84e,  Hope ur havin fun in da club,positive,<sentiment: positive>Hope ur havin,a great day  i know i am,<sentiment: positive>Hope ur havina great day  i know i am
704c53f4cf,Happy star wars day! May the fourth be with you,positive,<sentiment: positive>Happy star wars day!,May the 4th be with you!,<sentiment: positive>Happy star wars day!May the 4th be with you!
43e91a5488, I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive,<sentiment: positive>I liked it.  Did you record it yourself,?,<sentiment: positive>I liked it.  Did you record it yourself?
dfa577d3c1, Thanks Ennio,positive,<sentiment: positive>Thanks,I`m sure you`ll do great,<sentiment: positive>ThanksI`m sure you`ll do great
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be",gone in 10 minutes,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will begone in 10 minutes"
480894125b, you`re the absoute best,positive,<sentiment: positive>you`re,welcome,<sentiment: positive>you`rewelcome
a04c8c8695, Why do I have to enter my registration details every time I update?,neutral,<sentiment: neutral>Why do I have to enter my,password every time I want to check my email?,<sentiment: neutral>Why do I have to enter mypassword every time I want to check my email?
f0acd25d8e,Not happy,negative,<sentiment: negative>Not,sure if I can make it to the party,<sentiment: negative>Notsure if I can make it to the party
297f7d9e0f, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,<sentiment: negative>yeah i need his fricken cell number ive tried his home,number but no answer,<sentiment: negative>yeah i need his fricken cell number ive tried his homenumber but no answer
3a98aa4762,Happy Mothers Day!!!,positive,<sentiment: positive>Happy,Mother`s Day to all the moms out there!,<sentiment: positive>HappyMother`s Day to all the moms out there!
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers gal,ore) but I`m glad to be home,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers galore) but I`m glad to be home
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,<sentiment: negative>AT&T cheated the system and now I have,to wait 2 weeks for my phone to be activated,<sentiment: negative>AT&T cheated the system and now I haveto wait 2 weeks for my phone to be activated
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,<sentiment: neutral>_Adel they didn`t reply yet.. wait till they,do  {link},<sentiment: neutral>_Adel they didn`t reply yet.. wait till theydo  {link}
11de8c0456,Im Slowing on My Tweets..Cuase I Lost My Phone,negative,<sentiment: negative>Im Slowing on My Tweets,...,<sentiment: negative>Im Slowing on My Tweets...
29f805a7d2,Terminator Salvation... by myself.,neutral,<sentiment: neutral>Terminator Salvation,is a great movie. I want to see it again.,<sentiment: neutral>Terminator Salvationis a great movie. I want to see it again.
33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive,<sentiment: positive>http://twitpic.com/4,y8j9 - I want to go to the beach,<sentiment: positive>http://twitpic.com/4y8j9 - I want to go to the beach
614aed9113,I`m so very tired...and have insomnia.,negative,<sentiment: negative>I`m so very,tired. I`m going to bed. Goodnight!,<sentiment: negative>I`m so verytired. I`m going to bed. Goodnight!
e6c154f9be, bahah sadly I am not,negative,<sentiment: negative>bahah sadly,i have to work,<sentiment: negative>bahah sadlyi have to work
990cdeae87, I want to see David cook!!,positive,<sentiment: positive>I want to,go to the movies with you,<sentiment: positive>I want togo to the movies with you
f87dea47db,Last session of the day  http://twitpic.com/67ezh,neutral,<sentiment: neutral>Last session of the day  http://,twitpic.com/1f7d1s,<sentiment: neutral>Last session of the day  http://twitpic.com/1f7d1s
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",neutral,"<sentiment: neutral>i don`t want to do anything specific,",i just want to hang out,"<sentiment: neutral>i don`t want to do anything specific,i just want to hang out"
cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative,<sentiment: negative>http://twitpic.com/4wp8s -,I`m going to miss my little buddy  so much,<sentiment: negative>http://twitpic.com/4wp8s -I`m going to miss my little buddy  so much
25510fbf89,I have the Job  this is a nice day it can not be better,positive,<sentiment: positive>I have the Job  this is,sooo exciting,<sentiment: positive>I have the Job  this issooo exciting
8fd01857a9,is dreaming of the weekend... awake!,neutral,<sentiment: neutral>is dreaming of the,beach,<sentiment: neutral>is dreaming of thebeach
17d18ba9ef,thinks SG is wonderful,positive,<sentiment: positive>thinks,it`s time to go to bed.  goodnight twitterverse,<sentiment: positive>thinksit`s time to go to bed.  goodnight twitterverse
a11da2d3bf,"Playin City of Villains, wishin my buddies were playin with me.....",positive,"<sentiment: positive>Playin City of Villains, wish",I could play with my friends,"<sentiment: positive>Playin City of Villains, wishI could play with my friends"
0d29624200,"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",neutral,"<sentiment: neutral>I <3 Rupert Grint......& of the boy, Ive accepted tht I",will never have him,"<sentiment: neutral>I <3 Rupert Grint......& of the boy, Ive accepted tht Iwill never have him"
fa99046452,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,neutral,<sentiment: neutral>im just up :-| and its 12:43,am,<sentiment: neutral>im just up :-| and its 12:43am
c108e09b19,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,neutral,<sentiment: neutral>TweetDeck is acting really strange! Hum........ reinstall maybe.,{link},<sentiment: neutral>TweetDeck is acting really strange! Hum........ reinstall maybe.{link}
54670ca807,skype call with billie but my webcam dont work,neutral,<sentiment: neutral>skype call with bill,ie!  she`s in the states!,<sentiment: neutral>skype call with billie!  she`s in the states!
d6c34fa875, I`ll oscillate from one to the other.,neutral,<sentiment: neutral>I`ll oscillate,between 2 and 3. I`m not a morning person.,<sentiment: neutral>I`ll oscillatebetween 2 and 3. I`m not a morning person.
9ef44428d0,Stupid storm. No river for us tonight,negative,<sentiment: negative>Stupid storm.,I can`t go to the beach.  I`m so sad,<sentiment: negative>Stupid storm.I can`t go to the beach.  I`m so sad
8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral,<sentiment: neutral>And- hand made by Dan & Jenn -sock blockers... made,of wood.  I want one!,<sentiment: neutral>And- hand made by Dan & Jenn -sock blockers... madeof wood.  I want one!
c7c7f7f025,FML not having a car is prohibiting finding a job,negative,<sentiment: negative>FML not having a car,is really getting old.  I miss driving,<sentiment: negative>FML not having a caris really getting old.  I miss driving
2053a455e9,YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,neutral,<sentiment: neutral>YES! Im down to 50% full on my dvr  i was at 98%,yesterday!,<sentiment: neutral>YES! Im down to 50% full on my dvr  i was at 98%yesterday!
29148dc95c, oh i love sunday mornings like this - mum just made scrambled eggs on toast,positive,<sentiment: positive>oh i love sunday mornings like this,!,<sentiment: positive>oh i love sunday mornings like this!
161bfc7c8a," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive,"<sentiment: positive>yep - three things: a good haircut, the","new iPhone, and a new job","<sentiment: positive>yep - three things: a good haircut, thenew iPhone, and a new job"
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,<sentiment: positive>Caladesi was definitely a nice peaceful way to,spend the day.  I think I`ll be back there again soon.,<sentiment: positive>Caladesi was definitely a nice peaceful way tospend the day.  I think I`ll be back there again soon.
e34af4fd97," E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",positive,"<sentiment: positive>E.L.O.  wow, brings back so many happy memories.  LOVE this",band!,"<sentiment: positive>E.L.O.  wow, brings back so many happy memories.  LOVE thisband!"
e7e27b0c91, Welcome!,positive,<sentiment: positive>Welcome,"to the world, little one!","<sentiment: positive>Welcometo the world, little one!"
20aff2fcb1, yay but you missed naptime,neutral,<sentiment: neutral>yay but,i have to work,<sentiment: neutral>yay buti have to work
68901906a4,Toy Story 3 trailer premiered with Up. I need my computer back.,neutral,<sentiment: neutral>Toy Story 3 trailer premiered with,Star Trek. I want to see it now!,<sentiment: neutral>Toy Story 3 trailer premiered withStar Trek. I want to see it now!
1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral,<sentiment: neutral>Big Sad Face   Bing doesn`t work on iPhone.,I`m going to miss you.,<sentiment: neutral>Big Sad Face   Bing doesn`t work on iPhone.I`m going to miss you.
5ff525b74b,Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,negative,<sentiment: negative>Wondering if i cld make things any worse,?,<sentiment: negative>Wondering if i cld make things any worse?
433b1ab9ea,Ahhh my mommie got me new sheets for my bed  so comfy,positive,<sentiment: positive>Ahhh my mommie got me,a new phone!,<sentiment: positive>Ahhh my mommie got mea new phone!
410dd99aa3,man im so sad school is ending  but then again high school might be better :O,neutral,<sentiment: neutral>man im so sad school is ending  but,i have a great summer ahead of me,<sentiment: neutral>man im so sad school is ending  buti have a great summer ahead of me
eb2fc4d281, haaaw..well i get out of class at 10:50..i hope i make it,positive,<sentiment: positive>haaaw..well i get out of class,at 1:30 so i can go to the mall and get my hair done,<sentiment: positive>haaaw..well i get out of classat 1:30 so i can go to the mall and get my hair done
bcb9426abb,I wish I could go to #BEA this weekend.,positive,<sentiment: positive>I wish I could go to,the concert  but I can`t,<sentiment: positive>I wish I could go tothe concert  but I can`t
001617fca4,oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,neutral,<sentiment: neutral>oh my god!!! i cried so much!!! watch this guys from,the movie 17 again  {link},<sentiment: neutral>oh my god!!! i cried so much!!! watch this guys fromthe movie 17 again  {link}
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,"<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now","have a new name for my ego, `The Ego`  {link}","<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I nowhave a new name for my ego, `The Ego`  {link}"
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,<sentiment: neutral>almost got a kitty yesterday...,but the people who had it were too far away.  i`m sad,<sentiment: neutral>almost got a kitty yesterday...but the people who had it were too far away.  i`m sad
56a15cf6ca,"hate working when its sunny,boohoo",negative,<sentiment: negative>hate working when its,so nice out,<sentiment: negative>hate working when itsso nice out
b3eadfc565," Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",positive,"<sentiment: positive>Folks thought it was hilarious when I told them the story, and",I got a good laugh out of it too.,"<sentiment: positive>Folks thought it was hilarious when I told them the story, andI got a good laugh out of it too."
3112944847,ughh on the phone with HP!,neutral,<sentiment: neutral>ughh on the,way to work and its raining  i hate this weather,<sentiment: neutral>ughh on theway to work and its raining  i hate this weather
b783916431,"Huh, another ScarePoint coding Sunday",neutral,"<sentiment: neutral>Huh, another",one.  I`m going to bed.  I`ll see you tomorrow!,"<sentiment: neutral>Huh, anotherone.  I`m going to bed.  I`ll see you tomorrow!"
b0f3142cb4,bundy. in 3 days.!!!! warm weather here i come!,neutral,<sentiment: neutral>bundy. in 3 days,. i cant wait,<sentiment: neutral>bundy. in 3 days. i cant wait
cbee1946d3,"just got home from a nice party, just not tired yet",positive,<sentiment: positive>just got home from a nice,dinner with my mom. now to watch a movie,<sentiment: positive>just got home from a nicedinner with my mom. now to watch a movie
c50bdd4567, thats so cool,positive,<sentiment: positive>th,inks that the new `twitpic` app is awesome!  I love it!,<sentiment: positive>thinks that the new `twitpic` app is awesome!  I love it!
0a49cdbdf6,I will miss the soccer moms,negative,<sentiment: negative>I will miss,you too!,<sentiment: negative>I will missyou too!
b1999f0951,Now I have a sunburn,negative,<sentiment: negative>Now I have,to go to work.  I hate my job.,<sentiment: negative>Now I haveto go to work.  I hate my job.
4e87dcff0e, what are you? flavor of the day?,neutral,<sentiment: neutral>what are you?,i`m a girl.,<sentiment: neutral>what are you?i`m a girl.
3f90f95beb, why would they take a photo with stuffed animals?! that`s pretty funny,positive,<sentiment: positive>why would they take a photo with,you if you were not a good looking person,<sentiment: positive>why would they take a photo withyou if you were not a good looking person
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday,or not.  I think I will. I`m not ready to be done with this yet.,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sundayor not.  I think I will. I`m not ready to be done with this yet.
43b390b336, I checked.  We didn`t win,neutral,<sentiment: neutral>I checked. ,It is not a joke.  I am so sad.  I was looking forward to it.,<sentiment: neutral>I checked. It is not a joke.  I am so sad.  I was looking forward to it.
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,<sentiment: neutral>was so excited to eat the wartermelon i,"bought today, but i forgot to bring it to work  i`ll have to eat it tomorrow","<sentiment: neutral>was so excited to eat the wartermelon ibought today, but i forgot to bring it to work  i`ll have to eat it tomorrow"
256453d14f, It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,negative,<sentiment: negative>It`s gonna be hot here today too. today is Ryan`s last day of pre-k.,He`s so excited to go to kindergarten.,<sentiment: negative>It`s gonna be hot here today too. today is Ryan`s last day of pre-k.He`s so excited to go to kindergarten.
820f19ca44,"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",neutral,"<sentiment: neutral>Missed all your tweets again Joe, **** that time difference!!! (UK",)  {link},"<sentiment: neutral>Missed all your tweets again Joe, **** that time difference!!! (UK)  {link}"
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,neutral,<sentiment: neutral>Take antibacterial to school to clean,your hands.  I`m not a germaphobe but I don`t want to get sick,<sentiment: neutral>Take antibacterial to school to cleanyour hands.  I`m not a germaphobe but I don`t want to get sick
d5712716e9, well thank your phone for me.,positive,<sentiment: positive>well thank your,for that  i`m glad you liked it,<sentiment: positive>well thank yourfor that  i`m glad you liked it
7223fdccc2,tikcets are only ÃÂ¯ÃÂ¿ÃÂ½91...each...BUT I SO WANT TO GO,positive,<sentiment: positive>tikcets are only Ã¯Â¿Â½91,".50 each, so that`s not too bad","<sentiment: positive>tikcets are only Ã¯Â¿Â½91.50 each, so that`s not too bad"
